Date/Time,temp.0,R.hum.0,temp.1,R.hum.1,temp.2,R.hum.2,temp.3,R.hum.3
2019/2/13 13:20,23.2,20.2,2.9,46,11.8,18.5,2,63.6
2019/2/13 13:21,18,32.8,-1.6,60.9,20.4,40.6,5.6,84.6
2019/2/13 13:22,22.9,18.3,2.8,40.9,11,19.8,1.6,58.5
2019/2/13 13:23,19.3,33.7,-0.2,68.7,20.6,40.6,6.2,86.2
2019/2/13 13:24,21.2,16.7,2.4,34.3,10.8,24.8,1,54.7
2019/2/13 13:25,20,34.2,-0.3,73.9,20.2,36.6,6.7,87.7
2019/2/13 13:26,20.9,15.7,1.9,32.5,11.4,37,0.6,55.3
2019/2/13 13:27,21,34.1,0.2,78.9,19.7,32.4,7.5,90.3
2019/2/13 13:28,21.3,15.7,1.9,32.6,12.1,45.1,0.1,53.9
2019/2/13 13:29,22.3,33.5,1.3,83.2,19,27,7.9,91.1
2019/2/13 13:30,20.6,14.6,1.5,29.6,12.7,50.7,-0.4,52.6
2019/2/13 13:31,22.5,33.2,0.6,85.1,18.5,25.1,8.2,91.8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
