Date/Time,temp.0,R.hum.0,temp.1,R.hum.1,temp.2,R.hum.2,temp.3,R.hum.3,A.hum0,Enthalpy0,DewPoint0,SpecificVolume0,THCapa0,SHCapa0,LHCapa0,WaterMass0,A.hum1,Enthalpy1,DewPoint1,SpecificVolume1,THCapa1,SHCapa1,LHCapa1,WaterMass1,A.hum2,Enthalpy2,DewPoint2,SpecificVolume2,THCapa2,SHCapa2,LHCapa2,WaterMass2,A.hum3,Enthalpy3,DewPoint3,SpecificVolume3,THCapa3,SHCapa3,LHCapa3,WaterMass3,d-TH_0-1,d-SH_0-1,d-LH_0-1,d-W_0-1,d-TH_2-3,d-SH_2-3,d-LH_2-3,d-W_2-3,,,,,,
2019/2/13 11:39,11.6,37.2,-1.5,52,15.5,51.1,10.8,94.5,0.003135558,19.57728247,-2.220189811,0.810767192,0.402443568,0.241237609,0.161205959,0.232043764,0.001727727,2.80736656,-9.126715581,0.771725659,0.060629632,-0.032690326,0.093319958,0.134327009,0.005574782,29.6914977,5.446093469,0.825078677,0.599771039,0.31813064,0.281640399,0.405400014,0.007607479,30.03940443,9.953200781,0.814273199,0.614851061,0.225417796,0.389433265,0.560559678,0.341813936,0.273927935,0.067886001,0.097716754,-0.015080022,0.092712844,-0.107792867,-0.155159664,0.960388735,0.874954967,,,-24.91745131,0.266368685
2019/2/13 11:40,17.7,26,2.2,51.4,17.4,16.1,0.3,34.8,0.003250412,26.03932635,-1.79255583,0.828287849,0.523958879,0.360382883,0.163575996,0.235455251,0.002267801,7.893975146,-6.016191024,0.782914283,0.168046816,0.047306274,0.120740542,0.173796862,0.001970951,22.4956507,-7.629171875,0.825740225,0.454050197,0.354556658,0.099493539,0.143213411,0.001337275,3.647049033,-11.9934627,0.776352923,0.078294483,0.006494558,0.071799925,0.103350552,0.355912063,0.31307661,0.042835453,0.061658389,0.375755714,0.3480621,0.027693614,0.039862859,,,,,,
2019/2/13 11:41,13.1,36.7,-0.8,52.7,12.5,44.3,10.4,94.5,0.003415663,21.80193773,-1.201055879,0.815403347,0.445626854,0.271018531,0.174608323,0.251335451,0.001856179,3.834823578,-8.313332684,0.773873626,0.082589358,-0.017390443,0.099979802,0.143913349,0.003967526,22.58729978,0.683336484,0.814412241,0.462241329,0.259174995,0.203066334,0.292298601,0.007404853,29.12094022,9.55588998,0.812864432,0.597084808,0.217367199,0.379717609,0.546574727,0.363037496,0.288408974,0.074628521,0.107422102,-0.13484348,0.041807796,-0.176651275,-0.254276126,0.985015134,0.886251323,,,-3.990861004,0.121054385
2019/2/13 11:42,17.9,23.4,1.8,46.3,18.6,41.5,1.5,36.9,0.002961099,25.50877927,-2.898146063,0.828473867,0.513168053,0.364185127,0.148982926,0.214449634,0.001984299,6.779978765,-7.551995285,0.781421895,0.14460773,0.038759408,0.105848322,0.152360639,0.005509867,32.67676129,5.27918184,0.833853469,0.653127568,0.377695912,0.275431656,0.396463,0.001546704,5.381494687,-10.37270921,0.780021845,0.114985982,0.032332165,0.082653817,0.118973907,0.368560323,0.325425719,0.043134604,0.062088994,0.538141586,0.345363747,0.192777839,0.277489092,,,,,,
2019/2/13 11:43,13.5,38.1,-1.3,54.7,12.4,16.7,11.6,94.7,0.003641074,22.77604878,-0.435322555,0.816837087,0.464720345,0.278915753,0.185804592,0.267451632,0.00184829,3.31043619,-8.361775114,0.772443124,0.07142783,-0.028311405,0.099739236,0.143567072,0.001479958,16.20889844,-10.8661663,0.81089166,0.333149693,0.257073479,0.076076214,0.109505945,0.008044874,31.95827334,10.77955199,0.817134638,0.651836141,0.241454366,0.410381775,0.59071347,0.393292515,0.307227158,0.086065357,0.12388456,-0.318686448,0.015619113,-0.334305561,-0.481207525,0.901127208,0.98272507,,,-1.736823873,0.046344877
2019/2/13 11:44,17.9,24.7,2.4,48.5,16.7,48.6,0.2,34.9,0.003126431,25.92761735,-2.254786669,0.828693049,0.521455992,0.364196237,0.157259754,0.226363501,0.002170249,7.851594505,-6.523690667,0.783360513,0.167049406,0.051568456,0.11548095,0.166226078,0.005725642,31.29262148,5.827386357,0.828707935,0.629345598,0.341350476,0.287995122,0.414547157,0.001331414,3.531548036,-12.0420896,0.776061716,0.075843368,0.004331284,0.071512083,0.102936225,0.354406586,0.312627781,0.041778804,0.060137423,0.553502231,0.337019192,0.216483039,0.311610932,,,,,,
2019/2/13 11:45,13.4,37.7,-1.6,56.5,12.4,16.6,10.8,94.7,0.00357908,22.51824583,-0.641470293,0.816471212,0.45966605,0.276943163,0.182722887,0.263015751,0.00186207,3.042060142,-8.277281429,0.771607739,0.065708261,-0.034883391,0.100591651,0.14479406,0.001471075,16.18648328,-10.93337193,0.810880106,0.332693723,0.257073055,0.075620667,0.108850221,0.007623777,30.08048302,9.984744961,0.814294278,0.615675926,0.225418463,0.390257462,0.561746047,0.39395779,0.311826554,0.082131236,0.118221691,-0.282982203,0.031654592,-0.314636795,-0.452895826,0.871489042,0.986210552,,,-1.995588857,0.091382062
2019/2/13 11:46,17.3,23.3,2.1,46,17.3,47.9,0.3,36.8,0.002838332,24.5910988,-3.397607124,0.826603549,0.495826139,0.352696912,0.143129227,0.206023678,0.002014292,7.157979467,-7.38030059,0.782312114,0.152496242,0.045170274,0.107325968,0.154487599,0.005863274,32.25093905,6.167496681,0.830605475,0.647137139,0.352892961,0.294244178,0.423542199,0.001414305,3.83974189,-11.37188382,0.776448867,0.082421008,0.006494651,0.075926357,0.109290238,0.343329897,0.307526638,0.035803259,0.051536079,0.564716131,0.346398311,0.218317821,0.314251961,,,,,,
2019/2/13 11:47,13.9,38.3,-1.5,59,12.2,16.1,11.2,94.8,0.003757399,23.47492567,-0.057077471,0.81812902,0.478223791,0.286785884,0.191437907,0.275560361,0.001961039,3.390247893,-7.686798119,0.772014346,0.07319052,-0.032691739,0.10588226,0.15240949,0.001407972,15.82554269,-11.42179787,0.810230146,0.325535956,0.253101027,0.072434928,0.104264591,0.007840169,31.03396071,10.39795101,0.815721644,0.634079876,0.233447626,0.40063225,0.576679768,0.40503327,0.319477624,0.085555647,0.123150871,-0.30854392,0.019653402,-0.328197322,-0.472415177,0.87713571,0.980645057,,,-1.793567888,0.057094182
2019/2/13 11:48,16.8,21.1,0.8,45.1,17.3,46.8,0.4,37.7,0.002488766,23.2006727,-4.937030363,0.824718908,0.468860208,0.343071827,0.125788381,0.181062843,0.001798242,5.304800403,-8.673585497,0.778347679,0.113591063,0.017288689,0.096302374,0.13861997,0.005727387,31.90684215,5.831745058,0.8304257,0.640371201,0.352884195,0.287487006,0.413815762,0.001459537,4.053755098,-11.02122233,0.776789172,0.086976734,0.008656441,0.078320293,0.112736127,0.355269145,0.325783138,0.029486007,0.042442873,0.553394467,0.344227754,0.209166713,0.301079635,,,,,,
