Date/Time,CompOutput(0-5V),SAFanOutput(4-20mA),EAFanOutput(4-20mA),PumpOutput(1-5V),PDVOutput(4-20mA),WatCoilValveOutput(4-20mA),MixingValveOutput(4-20mA),NaN
 2019/04/15 11:30:07,1324,333,333,360,20,50,68,0
 2019/04/15 11:30:17,1440,333,333,360,35,50,68,0
 2019/04/15 11:30:28,1440,333,333,360,35,50,68,0
 2019/04/15 11:30:38,1440,333,333,360,35,50,68,0
 2019/04/15 11:30:48,1643,333,333,360,35,50,68,0
 2019/04/15 11:30:59,1527,333,333,360,35,50,68,0
 2019/04/15 11:31:09,1527,333,333,360,35,50,68,0
 2019/04/15 11:31:19,1729,333,333,360,35,50,68,0
 2019/04/15 11:31:29,1614,333,333,360,35,50,68,0
 2019/04/15 11:31:40,1411,333,333,360,35,50,68,0
 2019/04/15 11:31:50,1527,333,333,360,35,50,68,0
 2019/04/15 11:32:00,1527,333,333,360,35,50,68,0
 2019/04/15 11:32:10,1527,333,333,360,35,50,68,0
 2019/04/15 11:32:20,1527,333,333,360,35,50,68,0
 2019/04/15 11:32:31,1758,333,333,360,28,50,68,0
 2019/04/15 11:32:41,1469,333,333,360,28,50,68,0
 2019/04/15 11:32:51,1527,333,333,360,25,50,68,0
 2019/04/15 11:33:01,1527,333,333,360,22,50,68,0
 2019/04/15 11:33:12,1324,333,333,360,22,50,68,0
 2019/04/15 11:33:22,1440,333,333,360,35,50,68,0
 2019/04/15 11:33:32,1440,333,333,360,35,50,68,0
 2019/04/15 11:33:42,1411,333,333,360,35,50,68,0
 2019/04/15 11:33:53,1643,333,333,360,35,50,68,0
 2019/04/15 11:34:03,1353,333,333,360,35,50,68,0
 2019/04/15 11:34:13,1614,333,333,360,35,50,68,0
 2019/04/15 11:34:23,1527,333,333,360,28,50,68,0
 2019/04/15 11:34:34,1498,333,333,360,25,50,68,0
 2019/04/15 11:34:44,1498,333,333,360,25,50,68,0
 2019/04/15 11:34:54,1498,333,333,360,22,50,68,0
 2019/04/15 11:35:04,1498,333,333,360,20,50,68,0
 2019/04/15 11:35:15,1295,333,333,360,20,50,68,0
 2019/04/15 11:35:25,1411,333,333,360,20,50,68,0
 2019/04/15 11:35:35,1411,333,333,360,35,50,68,0
 2019/04/15 11:35:45,1295,333,333,360,35,50,68,0
 2019/04/15 11:35:56,1498,333,333,360,35,50,68,0
 2019/04/15 11:36:06,1382,333,333,360,35,50,68,0
 2019/04/15 11:36:16,1585,333,333,360,35,50,68,0
 2019/04/15 11:36:27,1469,333,333,360,35,50,68,0
 2019/04/15 11:36:37,1469,333,333,360,35,50,68,0
 2019/04/15 11:36:47,1671,333,333,360,35,50,68,0
 2019/04/15 11:36:57,1585,333,333,360,35,50,68,0
 2019/04/15 11:37:08,1585,333,333,360,30,50,68,0
 2019/04/15 11:37:18,1353,333,333,360,35,50,68,0
 2019/04/15 11:37:28,1469,333,333,360,35,50,68,0
 2019/04/15 11:37:38,1469,333,333,360,35,50,68,0
 2019/04/15 11:37:49,1498,333,333,360,35,50,68,0
 2019/04/15 11:37:59,1498,333,333,360,35,50,68,0
 2019/04/15 11:38:09,1498,333,333,360,30,50,68,0
 2019/04/15 11:38:19,1498,333,333,360,27,50,68,0
 2019/04/15 11:38:30,1295,333,333,360,27,50,68,0
 2019/04/15 11:38:40,1382,333,333,360,24,50,68,0
 2019/04/15 11:38:50,1382,333,333,360,21,50,68,0
 2019/04/15 11:39:00,1382,333,333,360,21,50,68,0
 2019/04/15 11:39:10,1353,333,333,360,35,50,68,0
 2019/04/15 11:39:21,1353,333,333,360,35,50,68,0
