Date/Time,CompOutput(0-5V),SAFanOutput(4-20mA),EAFanOutput(4-20mA),PumpOutput(1-5V),PDVOutput(4-20mA),WatCoilValveOutput(4-20mA),MixingValveOutput(4-20mA),NaN
 2019/04/10 10:48:44,3379,833,833,360,35,50,68,0
 2019/04/10 10:48:54,3379,833,833,360,35,50,68,0
 2019/04/10 10:49:04,3379,833,833,360,35,50,68,0
 2019/04/10 10:49:15,3379,833,833,360,35,50,68,0
 2019/04/10 10:49:25,3379,833,833,360,35,50,68,0
 2019/04/10 10:49:35,3379,833,833,360,35,50,68,0
 2019/04/10 10:49:45,3379,833,833,360,35,50,68,0
 2019/04/10 10:49:55,3379,833,833,360,35,50,68,0
 2019/04/10 10:50:06,3379,833,833,360,35,50,68,0
 2019/04/10 10:50:16,3379,833,833,360,35,50,68,0
 2019/04/10 10:50:26,3379,833,833,360,35,50,68,0
 2019/04/10 10:50:36,3379,833,833,360,35,50,68,0
 2019/04/10 10:50:47,3379,833,833,360,35,50,68,0
 2019/04/10 10:50:57,3379,833,833,360,35,50,68,0
 2019/04/10 10:51:07,3379,833,833,360,35,50,68,0
 2019/04/10 10:51:17,3379,833,833,360,35,50,68,0
 2019/04/10 10:51:28,3379,833,833,360,35,50,68,0
 2019/04/10 10:51:38,3379,833,833,360,35,50,68,0
 2019/04/10 10:51:48,3379,833,833,360,35,50,68,0
 2019/04/10 10:51:58,3379,833,833,360,35,50,68,0
 2019/04/10 10:52:09,3379,833,833,360,35,50,68,0
 2019/04/10 10:52:19,3379,833,833,360,35,50,68,0
 2019/04/10 10:52:29,3379,833,833,360,35,50,68,0
 2019/04/10 10:52:39,3379,833,833,360,35,50,68,0
 2019/04/10 10:52:50,3379,833,833,360,35,50,68,0
 2019/04/10 10:53:00,3379,833,833,360,35,50,68,0
 2019/04/10 10:53:10,3379,833,833,360,35,50,68,0
 2019/04/10 10:53:20,3379,833,833,360,35,50,68,0
 2019/04/10 10:53:31,3379,833,833,360,35,50,68,0
 2019/04/10 10:53:41,3379,833,833,360,35,50,68,0
 2019/04/10 10:53:51,3379,833,833,360,35,50,68,0
 2019/04/10 10:54:01,3379,833,833,360,35,50,68,0
 2019/04/10 10:54:11,3379,833,833,360,35,50,68,0
 2019/04/10 10:54:22,3379,833,833,360,35,50,68,0
 2019/04/10 10:54:32,3379,833,833,360,35,50,68,0
 2019/04/10 10:54:42,3379,833,833,360,35,50,68,0
 2019/04/10 10:54:53,3379,833,833,360,35,50,68,0
 2019/04/10 10:55:03,3379,833,833,360,35,50,68,0
 2019/04/10 10:55:13,3379,833,833,360,35,50,68,0
 2019/04/10 10:55:23,3379,833,833,360,35,50,68,0
 2019/04/10 10:55:34,3379,833,833,360,35,50,68,0
 2019/04/10 10:55:44,3379,833,833,360,35,50,68,0
 2019/04/10 10:55:54,3379,833,833,360,35,50,68,0
 2019/04/10 10:56:04,3379,833,833,360,35,50,68,0
 2019/04/10 10:56:14,3379,833,833,360,35,50,68,0
 2019/04/10 10:56:25,3379,833,833,360,35,50,68,0
 2019/04/10 10:56:35,3379,833,833,360,35,50,68,0
 2019/04/10 10:56:45,3379,833,833,360,35,50,68,0
 2019/04/10 10:56:55,3379,833,833,360,35,50,68,0
 2019/04/10 10:57:05,3379,833,833,360,35,50,68,0
 2019/04/10 10:57:16,3379,833,833,360,35,50,68,0
 2019/04/10 10:57:26,3379,833,833,360,35,50,68,0
 2019/04/10 10:57:36,3379,833,833,360,35,50,68,0
 2019/04/10 10:57:47,3379,833,833,360,35,50,68,0
 2019/04/10 10:57:57,3379,833,833,360,35,50,68,0
 2019/04/10 10:58:07,3379,833,833,360,35,50,68,0
 2019/04/10 10:58:17,3379,833,833,360,35,50,68,0
 2019/04/10 10:58:27,3379,833,833,360,35,50,68,0
 2019/04/10 10:58:38,3379,833,833,360,35,50,68,0
 2019/04/10 10:58:48,3379,833,833,360,35,50,68,0
 2019/04/10 10:58:58,3379,833,833,360,35,50,68,0
 2019/04/10 10:59:08,3379,833,833,360,35,50,68,0
 2019/04/10 10:59:18,3379,833,833,360,35,50,68,0
 2019/04/10 10:59:29,3379,833,833,360,35,50,68,0
 2019/04/10 10:59:39,3379,833,833,360,35,50,68,0
 2019/04/10 10:59:49,3379,833,833,360,35,50,68,0
 2019/04/10 11:00:00,3379,833,833,360,35,50,68,0
 2019/04/10 11:00:10,3379,833,833,360,35,50,68,0
 2019/04/10 11:00:20,3379,833,833,360,35,50,68,0
 2019/04/10 11:00:30,3379,833,833,360,35,50,68,0
 2019/04/10 11:00:41,3379,833,833,360,35,50,68,0
